academic_terms,original_string,new_string,domains,country
medical university pleven,medical university pleven,medical university pleven,mu-pleven.bg,Bulgaria
medical university plovdiv,medical university plovdiv,medical university plovdiv,meduniversity-plovdiv.bg,Bulgaria
medical university varna,medical university varna,medical university varna,mu-varna.bg,Bulgaria
military university shoumen,military university shoumen,military university shoumen,pv-ma.bg,Bulgaria
"national academy for theatre and film arts ""krustju sarafov""|national academy for theatre and film arts krustju sarafov","national academy for theatre and film arts ""krustju sarafov""|national academy for theatre and film arts krustju sarafov","national academy for theatre and film arts ""krustju sarafov""",natfiz.bg,Bulgaria
bulgarian national academy of arts,bulgarian national academy of arts,bulgarian national academy of arts,nha-bg.org,Bulgaria
"national academy of music ""pantcho vladigerov""|national academy of music pantcho vladigerov","national academy of music ""pantcho vladigerov""|national academy of music pantcho vladigerov","national academy of music ""pantcho vladigerov""",nma.bg,Bulgaria
national sports academy sofia,national sports academy sofia,national sports academy sofia,nsa.bg,Bulgaria
new bulgarian university,new bulgarian university,new bulgarian university,nbu.bg,Bulgaria
"shoumen university ""konstantin preslavski""|shoumen university konstantin preslavski","shoumen university ""konstantin preslavski""|shoumen university konstantin preslavski","shoumen university ""konstantin preslavski""",shu-bg.net,Bulgaria
"sofia university ""st. kliment ohridski""|sofia university st. kliment ohridski","sofia university ""st. kliment ohridski""|sofia university st. kliment ohridski","sofia university ""st. kliment ohridski""",uni-sofia.bg,Bulgaria
"south-west university ""neofit rilski""|south west university neofit rilski","south-west university ""neofit rilski""|south west university neofit rilski","south-west university ""neofit rilski""",swu.bg,Bulgaria
technical university of gabrovo,technical university of gabrovo,technical university of gabrovo,tugab.bg,Bulgaria
technical university of sofia,technical university of sofia,technical university of sofia,tu-sofia.bg,Bulgaria
technical university of varna,technical university of varna,technical university of varna,tu-varna.acad.bg,Bulgaria
trakia university stara zagora,trakia university stara zagora,trakia university stara zagora,uni-sz.bg,Bulgaria
university of architecture civil engineering and geodesy,university of architecture civil engineering and geodesy,"university of architecture, civil engineering and geodesy",uacg.bg,Bulgaria
university of chemical technology and metallurgy,university of chemical technology and metallurgy,university of chemical technology and metallurgy,uctm.edu,Bulgaria
university of economics varna,university of economics varna,university of economics varna,ue-varna.bg,Bulgaria
university of food technology,university of food technology,university of food technology,uft-plovdiv.bg,Bulgaria
university of forestry sofia,university of forestry sofia,university of forestry sofia,ltu.bg,Bulgaria
"university of mining and geology ""st. ivan rils""","university of mining and geology ""st. ivan rils""","university of mining and geology ""st. ivan rils""",mgu.bg,Bulgaria
university of national and world economy,university of national and world economy,university of national and world economy,unwe.acad.bg,Bulgaria
university of plovdiv,university of plovdiv,university of plovdiv,uni-plovdiv.bg,Bulgaria
university of rousse,university of rousse,university of rousse,ru.acad.bg,Bulgaria
varna free university,varna free university,varna free university,vfu.bg,Bulgaria
"veliko turnovo university ""cyril and methodius""|veliko turnovo university cyril and methodius","veliko turnovo university ""cyril and methodius""|veliko turnovo university cyril and methodius","veliko turnovo university ""cyril and methodius""",uni-vt.bg,Bulgaria
université de ouagadougou,université de ouagadougou,université de ouagadougou,univ-ouaga.bf,Burkina Faso
hope africa university,hope africa university,hope africa university,hopeafricauniversity.org,Burundi
université du burundi,université du burundi,université du burundi,ub.edu.bi,Burundi
université lumière de bujumbura,université lumière de bujumbura,université lumière de bujumbura,ulbu.bi,Burundi
angkor university,angkor university,angkor university,angkor.edu.kh,Cambodia
asia europe university,asia europe university,asia europe university,aeu.edu.kh,Cambodia
build bright university,build bright university,build bright university,bbu.edu.kh,Cambodia
cambodia university of specialties,cambodia university of specialties,cambodia university of specialties,cus.edu.kh,Cambodia
cambodian mekong university,cambodian mekong university,cambodian mekong university,mekong.edu.kh,Cambodia
chamreun university of poly technology,chamreun university of poly technology,chamreun university of poly technology,cup.edu.kh,Cambodia
international university,international university,international university,iu.edu.kh,Cambodia
national institute of education,national institute of education,national institute of education,ine.edu.kh,Cambodia
national university of management,national university of management,national university of management,num.edu.kh,Cambodia
norton university,norton university,norton university,norton.edu.kh,Cambodia
pannnasatra university of cambodia,pannnasatra university of cambodia,pannnasatra university of cambodia,puc.edu.kh,Cambodia
royal university of agriculture,royal university of agriculture,royal university of agriculture,rua.edu.kh,Cambodia
royal university of fine arts,royal university of fine arts,royal university of fine arts,rufa.edu.kh,Cambodia
royal university of law and economics,royal university of law and economics,royal university of law and economics,rule.edu.kh,Cambodia
royal university of phnom penh,royal university of phnom penh,royal university of phnom penh,rupp.edu.kh,Cambodia
svey reong university,svey reong university,svey reong university,sru.edu.kh,Cambodia
university of cambodia,university of cambodia,university of cambodia,uc.edu.kh,Cambodia
university of health and science,university of health and science,university of health and science,univ-sante.edu.kh,Cambodia
university of technology phnom penh,university of technology phnom penh,university of technology phnom penh,utpp.edu.kh,Cambodia
western university,western university,western university,western.edu.kh,Cambodia
zaman university,zaman university,zaman university,zamanuniversity.edu.kh,Cambodia
bamenda university of science & technology,bamenda university of science & technology,bamenda university of science & technology,bamendauniversity.com,Cameroon
fomic polytechnic,fomic polytechnic,fomic polytechnic,fomicgroup.cm,Cameroon
université de bamenda,université de bamenda,université de bamenda,unibda.net,Cameroon
université de buéa,université de buéa,université de buéa,ubuea.cm,Cameroon
université de douala,université de douala,université de douala,univ-douala.com,Cameroon
université de dschang,université de dschang,université de dschang,univ-dschang.org,Cameroon
université de ngaoundéré,université de ngaoundéré,université de ngaoundéré,univ-ndere.cm,Cameroon
université de yaoundé i,université de yaoundé i,université de yaoundé i,uy1.uninet.cm,Cameroon
université de yaoundé ii,université de yaoundé ii,université de yaoundé ii,universite-yde2.org,Cameroon
université des montagnes,université des montagnes,université des montagnes,udesmontagnes.org,Cameroon
acadia university,acadia university,acadia university,acadiau.ca,Canada
algonquin college,algonquin college,algonquin college,algonquincollege.com,Canada
ashton college,ashton college,ashton college,ashtoncollege.com,Canada
assumption university,assumption university,assumption university,assumptionu.ca,Canada
athabasca university,athabasca university,athabasca university,athabascau.ca,Canada
augustana university college,augustana university college,augustana university college,augustana.ab.ca,Canada
bishop's university,bishop's university,bishop's university,ubishops.ca,Canada
bow valley college,bow valley college,bow valley college,bowvalleycollege.ca,Canada
brandon university,brandon university,brandon university,brandonu.ca,Canada
brescia university college,brescia university college,brescia university college,brescia.uwo.ca,Canada
british columbia institute of technology,british columbia institute of technology,british columbia institute of technology,bcit.ca,Canada
british columbia open university,british columbia open university,british columbia open university,bcou.ca,Canada
brock university,brock university,brock university,brocku.ca,Canada
camosun college,camosun college,camosun college,camosun.bc.ca,Canada
campion college,campion college,campion college,uregina.ca,Canada
canadian college of business & computers,canadian college of business & computers,canadian college of business & computers,ccbc.ca,Canada
canadian mennonite university,canadian mennonite university,canadian mennonite university,cmu.ca,Canada
capilano college,capilano college,capilano college,capcollege.bc.ca,Canada
carleton university,carleton university,carleton university,carleton.ca,Canada
cégep de saint-jérôme,cégep de saint-jérôme,cégep de saint-jérôme,cstj.qc.ca,Canada
